id,out,in,all,bins,unique,,
10898,6,2,8,,,,
735,86,95,181,,,,
830,4,2,6,,,,
14461,1,12,13,,,,
6294,10,5,15,,,,
15315,2,5,7,,,,
9085,1,2,3,,,,
8503,4,3,7,,,,
11181,4,5,9,,,,
7736,8,11,19,,,,
13043,8,4,12,,,,
16843,6,5,11,,,,
6218,7,10,17,,,,
2759,16,2,18,,,,
246,2,29,31,,,,
13799,7,0,7,,,,
2202,10,1,11,,,,
4060,31,46,77,,,,
5640,12,4,16,,,,
17738,2,3,5,,,,
11902,19,9,28,,,,
6336,15,5,20,,,,
16275,14,1,15,,,,
1868,44,37,81,,,,
9198,37,10,47,,,,
15638,13,17,30,,,,
5000,9,20,29,,,,
11465,4,0,4,,,,
2212,9,0,9,,,,
13229,3,21,24,,,,
15246,26,12,38,,,,
9128,1,0,1,,,,
7663,18,14,32,,,,
11710,39,38,77,,,,
2676,76,8,84,,,,
11163,3,9,12,,,,
3906,37,88,125,,,,
2034,21,8,29,,,,
5575,3,5,8,,,,
